ad_id,event_id,type,publish_date,remove_date,advance_days,location,quantity,fb_interested,fb_went,fb_invited,,url,comments
1,1,seat_flyers,,,,,75,,,,,,day 1
2,1,seat_flyers,,,,,75,,,,,,day 1
3,1,seat_flyers,,,,,100,,,,,,day 1
4,1,chalkboard,,,,,1,,,,,,day 1
5,1,chalkboard,,,,,2,,,,,,day 2
6,1,chalkboard,,,,,2,,,,,,day 2
7,1,seat_flyers,,,,,50,,,,,,day 2
8,1,seat_flyers,,,,,50,,,,,,day 2
9,1,fb_event,10/22/16,,3,,,55,32,47,,https://www.facebook.com/events/250839965314429/,
10,2,fb_event,11/1/16,,2,,,41,29,34,,https://www.facebook.com/events/321671651547791/,
11,3,fb_event,12/1/16,,2,,,19,24,38,,https://www.facebook.com/events/210116929433726/,
12,4,fb_event,2/14/17,,2,,,21,23,129,,https://www.facebook.com/events/256245298151463/,
13,4,seat_flyers,2/13/17,,3,WLH 2204,,,,,,,
14,4,seat_flyers,2/13/17,,3,SOLIS 104,,,,,,,
15,4,seat_flyers,2/13/17,,3,CENTR 101,,,,,,,
16,4,chalkboard,2/13/17,,3,WLH 2204,2,,,,,,
17,4,chalkboard,2/13/17,,3,SOLIS 104,2,,,,,,
18,5,fb_event,2/24/17,,4,,,16,9,25,,https://www.facebook.com/events/1860962157493452/,
19,5,seat_flyers,2/27/17,,1,WLH 2204,38,,,,,,
20,5,seat_flyers,2/27/17,,1,SOLIS 104,75,,,,,,
21,5,seat_flyers,2/27/17,,1,CENTR 101,51,,,,,,
22,5,chalkboard,2/27/17,,1,CENTR 101,2,,,,,,
23,5,chalkboard,2/27/17,,1,WLH 2204,2,,,,,,
24,5,wechat,2/27/17,,1,,2,,,,,,
25,5,outdoors_board,2/27/17,,1,Economics Dept.,2,,,,,,
26,6,seat_flyers,3/15/17,,3,CENTR 101,86,,,,,,
27,6,seat_flyers,3/15/17,3/16/17,3,CENTR 119,64,,,,,,Taken down by the next morning
28,6,seat_flyers,3/15/17,3/16/17,3,SOLIS 107,110,,,,,,Taken down by the next morning
29,6,fb_event,3/15/17,,3,,,9,20,23,,https://www.facebook.com/events/1350437205047185/,
30,6,instagram,3/15/17,,3,,,,,,,https://www.instagram.com/p/BRrq5I5lFw5/?taken-by=ucsd_ues,
31,6,chalkboard,3/15/17,,3,CENTR 101,1,,,,,,
32,6,chalkboard,3/15/17,,3,SOLIS 107,1,,,,,,
33,6,chalkboard,3/15/17,,3,CENTR 119,2,,,,,,
34,6,email,3/17/17,,1,,,,,,,,
35,7,fb_event,4/12/17,,5,,,9,19,50,,https://www.facebook.com/events/664432717076175/,Limited time to prepare
36,8,fb_event,4/17/17,,3,,,,,,,https://www.facebook.com/events/1839382939656419/,Limited time to prepare
37,8,seat_flyers,4/20/17,,0,SOLIS 104,66,,,,,,
38,8,seat_flyers,4/20/17,,0,PETER 108,126,,,,,,
39,8,seat_flyers,4/20/17,,0,PETER 110,110,,,,,,
40,8,seat_flyers,4/20/17,,0,LEDDN AUD,97,,,,,,
41,8,chalkboard,4/20/17,,0,SOLIS 104,1,,,,,,
42,8,chalkboard,4/20/17,,0,LEDDN AUD,2,,,,,,
43,9,seat_flyers,4/27/17,,5,PETER 108,180,,,,,,
44,9,seat_flyers,5/1/17,,1,SOLIS 104,74,,,,,,"Tried on 4/27, janitor said no"
45,9,seat_flyers,5/1/17,,1,CENTR 216,64,,,,,,
46,9,seat_flyers,4/27/17,4/29/17,5,WLH 2001,178,,,,,,
47,9,outdoors_board,5/1/17,,1,Economics Dept.,10,,,,,,
48,9,chalkboard,4/27/17,,5,SOLIS 104,2,,,,,,
49,9,chalkboard,4/27/17,,5,WLH 2001,2,,,,,,
50,9,chalkboard,5/1/17,,1,Galbraith 242,1,,,,,,
51,9,chalkboard,4/27/17,,5,PETER 108,,,,,,,
52,9,chalkboard,5/1/17,,1,SOLIS 107,1,,,,,,
53,9,email,4/26/17,,6,,,,,,,,
54,9,fb_event,4/25/17,,7,,,84,46,186,,https://www.facebook.com/events/1834116753517010/,
55,9,hand_flyer,5/2/17,,0,PC,,,,,,,
56,9,email,5/1/17,,1,,,,,,,,
58,10,chalkboard,6/8/17,,2,WLH 2001,2,,,,,,
59,10,seat_flyers,6/8/17,,2,WLH 2001,,,,,,,
60,10,seat_flyers,6/8/17,,2,,,,,,,,
61,10,fb_event,6/9/17,,1,,,4,14,41,,https://www.facebook.com/events/653624964837589/,
57,10,email,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,p,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
